"id","loan_amnt","funded_amnt","term","int_rate","installment","emp_length","home_ownership","annual_inc","loan_status","purpose","addr_state","dti","delinq_2yrs","earliest_cr_line","mths_since_last_delinq","open_acc","revol_bal","total_acc","out_prncp","total_pymnt","total_rec_prncp","total_rec_int","wtd_loans","interest_rate","int_rate2","num_rate","numrate"
999547,16000,16000," 36 months","10.16%",517.48,"n/a","RENT",155000,"Late (31-120 days)","debt_consolidation","CA",26.49,0,"1982-11-25 12:58:00",,18,58888,35,11999.79,5391.45,4000.21,1365.39,,,"10.16%",,
1061580,27575,27575," 60 months","12.69%",623.05,"1 year","RENT",91200,"Charged Off","credit_card","CA",27.69,0,"1995-08-04 04:07:00",,13,45053,29,0,1866.87,1003.66,863.21,,,"12.69%",,
1074785,4800,4800," 36 months","12.69%",161.02,"6 years","MORTGAGE",48000,"Charged Off","home_improvement","NM",4,0,"1999-06-25 08:34:00",,4,1361,7,0,1925.64,1398.06,527.58,,,"12.69%",,
1076316,19200,19200," 60 months","20.30%",511.9,"10+ years","MORTGAGE",150000,"Charged Off","debt_consolidation","GA",6.18,0,"2000-04-22 09:29:00",40,10,17541,19,0,5118.17,2013.42,3088.78,,,"20.30%",,
1098366,21000,21000," 60 months","12.69%",474.49,"6 years","MORTGAGE",70000,"Late (31-120 days)","debt_consolidation","SC",20.85,0,"2003-09-21 11:37:00",,15,8865,34,15121.56,9962.87,5878.44,4084.43,,,"12.69%",,
1099469,8325,8325," 36 months","14.65%",287.17,"5 years","RENT",20000,"Charged Off","credit_card","NY",14.94,0,"1999-09-13 11:51:00",48,4,9022,8,0,2408.78,1345.89,662.2,,,"14.65%",,
1102636,5000,5000," 36 months","14.65%",172.48,"< 1 year","RENT",150000,"Charged Off","debt_consolidation","NY",1.63,1,"2005-05-16 12:37:00",18,9,3847,18,0,1895.08,1301.95,593.13,,,"14.65%",,
1110001,18000,18000," 36 months","7.90%",563.23,"10+ years","MORTGAGE",36000,"In Grace Period","debt_consolidation","KS",9.4,0,"2001-01-12 09:11:00",,12,14561,26,6486.81,13507.2,11513.19,1994.01,,,"7.90%",,
1112033,4000,4000," 36 months","12.69%",134.18,"10+ years","MORTGAGE",66000,"Charged Off","wedding","NJ",21.09,0,"1998-10-28 10:39:00",,11,10054,29,0,800.82,563.07,237.75,,,"12.69%",,
1114693,7000,7000," 36 months","8.90%",222.28,"4 years","OWN",28000,"Late (31-120 days)","debt_consolidation","IL",19.2,0,"1987-10-27 09:18:00",,7,6908,17,2951.74,4882.24,4048.26,833.98,,,"8.90%",,
1130305,14000,14000," 36 months","9.91%",451.15,"2 years","RENT",25356,"Charged Off","small_business","NC",16.56,0,"1994-08-02 01:22:00",,4,0,4,0,928.49,335.17,115.49,,,"9.91%",,
1138771,9000,9000," 36 months","15.27%",313.18,"7 years","RENT",40000,"Charged Off","small_business","MD",4.9,0,"2006-05-06 11:36:00",,7,6383,10,0,5479.85,3828.4,1651.45,,,"15.27%",,
1140849,8000,8000," 36 months","14.27%",274.48,"2 years","RENT",57000,"Charged Off","debt_consolidation","NY",12.42,0,"2003-03-25 10:07:00",,4,5469,22,0,2300.43,1297.32,618.44,,,"14.27%",,
1141464,20000,20000," 36 months","8.90%",635.07,"5 years","RENT",120000,"Charged Off","debt_consolidation","CA",10.34,0,"1997-11-28 03:28:00",,8,13576,26,0,2538.32,1967.19,571.13,,,"8.90%",,
1143076,5400,5400," 36 months","10.74%",176.13,"6 years","MORTGAGE",30000,"Charged Off","debt_consolidation","CA",13.1,0,"2006-12-05 12:40:00",,9,7589,16,0,1581.93,1189.81,392.12,,,"10.74%",,
1145235,15000,15000," 36 months","13.99%",512.6,"2 years","MORTGAGE",57000,"Default","debt_consolidation","CA",18.95,0,"2005-12-11 03:34:00",,15,13797,26,7875.15,9723.25,7124.85,2598.4,,,"13.99%",,
